theme,url,img,lines,author
PATIENCE,/inspirational-quotes/7725-patience-is-not-simply-the-ability-to-wait-its,https://assets.passiton.com/quotes/quote_artwork/7725/medium/20230824_thursday_quote.jpg,Patience is not simply the ability to wait—it's how we behave while we're waiting.  ,<Author:0x0000563129dc3948>


PATIENCE,/inspirational-quotes/8076-patience-is-a-form-of-wisdom-it-demonstrates,https://assets.passiton.com/quotes/quote_artwork/8076/medium/20230823_wednesday_quote.jpg,Patience is a form of wisdom. It demonstrates that we understand and accept the fact that sometimes things must unfold in their own time. ,<Author:0x0000563129d94fa8>


PATIENCE,/inspirational-quotes/3605-patience-and-tenacity-of-purpose-are-worth-more,https://assets.passiton.com/quotes/quote_artwork/3605/medium/20230822_tuesday_quote.jpg,Patience and tenacity of purpose are worth more than twice their weight of cleverness. ,<Author:0x0000563129e868a8>


PATIENCE,/inspirational-quotes/8077-patience-is-more-than-simply-learning-to-wait,https://assets.passiton.com/quotes/quote_artwork/8077/medium/20230821_monday_quote.jpg,Patience is more than simply learning to wait. It is having learned what is worth your time. ,<Author:0x0000563129e48f08>


FRIENDSHIP,/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right,https://assets.passiton.com/quotes/quote_artwork/8192/medium/20230818_friday_quote.jpg,Anything is possible when you have the right people there to support you. ,<Author:0x0000563129f00450>


FRIENDSHIP,/inspirational-quotes/3991-many-people-will-walk-in-and-out-of-your-life,https://assets.passiton.com/quotes/quote_artwork/3991/medium/20230817_thursday_quote.jpg,Many people will walk in and out of your life but only true friends will leave footprints in your heart. ,<Author:0x0000563129ece0e0>


FRIENDSHIP,/inspirational-quotes/8330-i-would-rather-walk-with-a-friend-in-the-dark,https://assets.passiton.com/quotes/quote_artwork/8330/medium/20230816_wednesday_quote.jpg,"I would rather walk with a friend in the dark, than alone in the light. ",<Author:0x0000563129ea0168>


FRIENDSHIP,/inspirational-quotes/8331-try-to-be-a-rainbow-in-someones-cloud,https://assets.passiton.com/quotes/quote_artwork/8331/medium/20230815_tuesday_quote.jpg,Try to be a rainbow in someone's cloud. ,<Author:0x0000563129f3f808>


FRIENDSHIP,/inspirational-quotes/8036-good-friends-are-like-stars-you-dont-always,https://assets.passiton.com/quotes/quote_artwork/8036/medium/20230814_monday_quote.jpg,"Good friends are like stars. You don't always see them, but you know they're always there. ",<Author:0x0000563129f16c28>


EDUCATION,/inspirational-quotes/6436-the-whole-purpose-of-education-is-to-turn,https://assets.passiton.com/quotes/quote_artwork/6436/medium/20230811_friday_quote.jpg,The whole purpose of education is to turn mirrors into windows. ,<Author:0x0000563129fbd820>


EDUCATION,/inspirational-quotes/7663-intelligence-plus-character-that-is-the-goal-of,https://assets.passiton.com/quotes/quote_artwork/7663/medium/20230810_thursday_quote.jpg,Intelligence plus character-that is the goal of true education. ,<Author:0x0000563129f86d98>


EDUCATION,/inspirational-quotes/7932-children-must-be-taught-how-to-think-not-what,https://assets.passiton.com/quotes/quote_artwork/7932/medium/20230809_wednesday_quote.jpg,"Children must be taught how to think, not what to think. ",<Author:0x000056312a02dbe8>


EDUCATION,/inspirational-quotes/7664-one-child-one-teacher-one-book-one-pen-can,https://assets.passiton.com/quotes/quote_artwork/7664/medium/20230808_tuesday_quote.jpg,"One child, one teacher, one book, one pen can change the world. ",<Author:0x000056312a001660>


EDUCATION,/inspirational-quotes/8268-education-is-for-improving-the-lives-of-others,https://assets.passiton.com/quotes/quote_artwork/8268/medium/20230807_monday_quote.jpg,Education is for improving the lives of others and for leaving your community and world better than you found it. ,<Author:0x000056312a0a3e60>


INTEGRITY,/inspirational-quotes/8100-a-life-lived-with-integrity-is-a-shining-star,https://assets.passiton.com/quotes/quote_artwork/8100/medium/20230804_friday_quote.jpg,A life lived with integrity… is a shining star in whose light others may follow in the years to come. ,<Author:0x000056312a07b500>


INTEGRITY,/inspirational-quotes/6580-when-you-say-yes-to-others-make-sure-you-arent,https://assets.passiton.com/quotes/quote_artwork/6580/medium/20230803_thursday_quote.jpg,"When you say 'yes' to others, make sure you aren't saying 'no' to yourself. ",<Author:0x000056312a041990>


INTEGRITY,/inspirational-quotes/7654-real-integrity-is-doing-the-right-thing,https://assets.passiton.com/quotes/quote_artwork/7654/medium/20230802_wednesday_quote.jpg,"Real integrity is doing the right thing, knowing that nobody’s going to know whether you did it or not. ",<Author:0x000056312a0e3420>


INTEGRITY,/inspirational-quotes/8098-the-time-is-always-right-to-do-what-is-right,https://assets.passiton.com/quotes/quote_artwork/8098/medium/20230801_tuesday_quote.jpg,The time is always right to do what is right. ,<Author:0x000056312a0bb470>


INTEGRITY,/inspirational-quotes/7655-integrity-is-choosing-courage-over-comfort,https://assets.passiton.com/quotes/quote_artwork/7655/medium/20230731_monday_quote.jpg,"Integrity is choosing courage over comfort; choosing what is right over what is fun, fast, or easy; and choosing to practice our values rather than simply professing them. ",<Author:0x000056312a181440>


HOPE,/inspirational-quotes/5220-once-you-choose-hope-anythings-possible,https://assets.passiton.com/quotes/quote_artwork/5220/medium/20230728_friday_quote.jpg,"Once you choose hope, anything's possible. ",<Author:0x000056312a134f50>


HOPE,/inspirational-quotes/6827-just-as-one-cannot-live-without-dreams-one,https://assets.passiton.com/quotes/quote_artwork/6827/medium/20230727_thursday_quote.jpg,"Just as one cannot live without dreams, one cannot live without hope. If dreams reflect the past, hope summons the future. ",<Author:0x000056312a2371a0>


HOPE,/inspirational-quotes/6731-infuse-your-life-with-action-dont-wait-for-it,https://assets.passiton.com/quotes/quote_artwork/6731/medium/20230726_wednesday_quote.jpg,Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. ,<Author:0x000056312a1f82c0>


HOPE,/inspirational-quotes/7176-it-is-often-in-the-darkest-skies-that-we-see,https://assets.passiton.com/quotes/quote_artwork/7176/medium/20230725_tuesday_quote.jpg,It is often in the darkest skies that we see the brightest stars. ,<Author:0x000056312a1b8c38>


HOPE,/inspirational-quotes/8155-hope-sees-the-invisible-feels-the-intangible,https://assets.passiton.com/quotes/quote_artwork/8155/medium/20230724_monday_quote.jpg,"Hope sees the invisible, feels the intangible, and achieves the impossible. ",<Author:0x000056312a292c80>


GIVING BACK,/inspirational-quotes/7818-the-miracle-is-this-the-more-we-share-the-more,https://assets.passiton.com/quotes/quote_artwork/7818/medium/20230721_friday_quote.jpg,The miracle is this: the more we share the more we have. ,<Author:0x000056312a260500>


GIVING BACK,/inspirational-quotes/6912-if-you-have-much-give-of-your-wealth-if-you,https://assets.passiton.com/quotes/quote_artwork/6912/medium/20230720_thursday_quote.jpg,"If you have much, give of your wealth; if you have little, give of your heart. ",<Author:0x000056312a3366f0>


GIVING BACK,/inspirational-quotes/8287-i-have-found-that-among-its-other-benefits,https://assets.passiton.com/quotes/quote_artwork/8287/medium/20230719_wednesday_quote.jpg,"I have found that among its other benefits, giving liberates the soul of the giver. ",<Author:0x000056312a2e6880>


GIVING BACK,/inspirational-quotes/7239-the-greatest-good-you-can-do-for-another-is-not,https://assets.passiton.com/quotes/quote_artwork/7239/medium/20230718_tuesday_quote.jpg,"The greatest good you can do for another is not just share your riches, but to reveal to them their own. ",<Author:0x000056312a3d3568>


GIVING BACK,/inspirational-quotes/7850-at-the-end-of-the-day-its-not-about-what-you,https://assets.passiton.com/quotes/quote_artwork/7850/medium/20230717_monday_quote.jpg,"At the end of the day, it's not about what you have or even what you've accomplished… It's about who you've lifted up, who you've made better. It's about what you've given back. ",<Author:0x000056312a389ad0>


UNITY,/inspirational-quotes/7941-unity-is-strength-when-there-is-teamwork-and,https://assets.passiton.com/quotes/quote_artwork/7941/medium/20230714_friday_quote.jpg,"Unity is strength…when there is teamwork and collaboration, wonderful things can be achieved. ",<Author:0x000056312a351310>


UNITY,/inspirational-quotes/8096-unity-does-not-mean-sameness-it-means-oneness,https://assets.passiton.com/quotes/quote_artwork/8096/medium/20230713_thursday_quote.jpg,Unity does not mean sameness. It means oneness of purpose. ,<Author:0x000056312a413e88>


UNITY,/inspirational-quotes/7585-individually-we-are-one-drop-together-we-are,https://assets.passiton.com/quotes/quote_artwork/7585/medium/20230712_wednesday_quote.jpg,"Individually, we are one drop. Together, we are an ocean. ",<Author:0x000056312a3ea6a0>


UNITY,/inspirational-quotes/7701-the-things-that-we-share-in-our-world-are-far,https://assets.passiton.com/quotes/quote_artwork/7701/medium/20230711_tuesday_quote.jpg,The things that we share in our world are far more valuable than those which divide us. ,<Author:0x000056312a48b028>


